Effective Date;Rate Type;Rate (%)
01/18/2024;SOFR;5.31
01/17/2024;SOFR;5.32
01/16/2024;SOFR;5.32
01/12/2024;SOFR;5.31
01/11/2024;SOFR;5.31
01/10/2024;SOFR;5.31
01/09/2024;SOFR;5.31
01/08/2024;SOFR;5.31
01/05/2024;SOFR;5.31
01/04/2024;SOFR;5.32
01/03/2024;SOFR;5.39
01/02/2024;SOFR;5.4
12/29/2023;SOFR;5.38
12/28/2023;SOFR;5.4
12/27/2023;SOFR;5.39
12/26/2023;SOFR;5.35
12/22/2023;SOFR;5.32
12/21/2023;SOFR;5.31
12/20/2023;SOFR;5.31
12/19/2023;SOFR;5.31
12/18/2023;SOFR;5.32
12/15/2023;SOFR;5.32
12/14/2023;SOFR;5.31
12/13/2023;SOFR;5.31
12/12/2023;SOFR;5.31
12/11/2023;SOFR;5.32
12/08/2023;SOFR;5.32
12/07/2023;SOFR;5.32
12/06/2023;SOFR;5.32
12/05/2023;SOFR;5.33
12/04/2023;SOFR;5.37
12/01/2023;SOFR;5.39
11/30/2023;SOFR;5.33
11/29/2023;SOFR;5.31
11/28/2023;SOFR;5.32
11/27/2023;SOFR;5.32
11/24/2023;SOFR;5.32
11/22/2023;SOFR;5.31
11/21/2023;SOFR;5.31
11/20/2023;SOFR;5.31
11/17/2023;SOFR;5.32
11/16/2023;SOFR;5.32
11/15/2023;SOFR;5.32
11/14/2023;SOFR;5.32
11/13/2023;SOFR;5.32
11/10/2023;SOFR;5.32
11/09/2023;SOFR;5.32
11/08/2023;SOFR;5.32
11/07/2023;SOFR;5.32
11/06/2023;SOFR;5.32
11/03/2023;SOFR;5.32
11/02/2023;SOFR;5.33
11/01/2023;SOFR;5.32
10/31/2023;SOFR;5.35
10/30/2023;SOFR;5.31
10/27/2023;SOFR;5.31
10/26/2023;SOFR;5.31
10/25/2023;SOFR;5.3
10/24/2023;SOFR;5.3
10/23/2023;SOFR;5.3
10/20/2023;SOFR;5.3
10/19/2023;SOFR;5.3
10/18/2023;SOFR;5.3
10/17/2023;SOFR;5.31
10/16/2023;SOFR;5.31
10/13/2023;SOFR;5.31
10/12/2023;SOFR;5.31
10/11/2023;SOFR;5.31
10/10/2023;SOFR;5.31
10/06/2023;SOFR;5.31
10/05/2023;SOFR;5.32
10/04/2023;SOFR;5.32
10/03/2023;SOFR;5.33
10/02/2023;SOFR;5.32
09/29/2023;SOFR;5.31
09/28/2023;SOFR;5.31
09/27/2023;SOFR;5.32
09/26/2023;SOFR;5.31
09/25/2023;SOFR;5.31
09/22/2023;SOFR;5.3
09/21/2023;SOFR;5.3
09/20/2023;SOFR;5.3
09/19/2023;SOFR;5.31
09/18/2023;SOFR;5.31
09/15/2023;SOFR;5.31
09/14/2023;SOFR;5.3
09/13/2023;SOFR;5.3
09/12/2023;SOFR;5.3
09/11/2023;SOFR;5.3
09/08/2023;SOFR;5.3
09/07/2023;SOFR;5.31
09/06/2023;SOFR;5.3
09/05/2023;SOFR;5.31
09/01/2023;SOFR;5.31
08/31/2023;SOFR;5.31
08/30/2023;SOFR;5.3
08/29/2023;SOFR;5.3
08/28/2023;SOFR;5.3
08/25/2023;SOFR;5.3
08/24/2023;SOFR;5.3
08/23/2023;SOFR;5.3
08/22/2023;SOFR;5.3
08/21/2023;SOFR;5.3
08/18/2023;SOFR;5.3
08/17/2023;SOFR;5.3
08/16/2023;SOFR;5.3
08/15/2023;SOFR;5.3
08/14/2023;SOFR;5.3
08/11/2023;SOFR;5.3
08/10/2023;SOFR;5.3
08/09/2023;SOFR;5.3
08/08/2023;SOFR;5.3
08/07/2023;SOFR;5.3
08/04/2023;SOFR;5.3
08/03/2023;SOFR;5.3
08/02/2023;SOFR;5.3
08/01/2023;SOFR;5.31
07/31/2023;SOFR;5.31
07/28/2023;SOFR;5.3
07/27/2023;SOFR;5.31
07/26/2023;SOFR;5.06
